Species T1 T2 T3 T4 T5 T6 T7 T8 T9 T10
Acropora_bruegemanni 3.3 0 0 0 0 0 0 0 0 0
Acropora_robusta 0 0 3 0 0 0 0 0 0 0
Acropora_formosa 2.5 2 3 0 0 0 0 0 0 0
Acropora_aspera 1.5 0 0 0 0 0 0 0 0 0
Acropora_hyacinthus 2.1 0 0 0 0 0 0 0 0 0
Acropora_palifera 0 1.2 0 1.2 0 0 0 0 0 0
Acropora_nasuta 0 0 0 1.5 0 0 0 0 0 0
Acropora_humilis 0 0 3 0 0 0 0 0 0 0
Montipora_monasteriata 1.5 4 3.3 3.5 1.8 0 0 0 0 0
Montipora_tuberculosa 0 3.1 3.7 4.2 6.1 4.6 0 0.8 0 0
Montipora_hispida 1.5 0 2.2 0 2.8 0 4.1 0 0 0
Montipora_digitata 0 9.8 7.1 4.5 5.1 9.2 3.7 8.2 9.1 45.6
Montipora_foliosa 0 0 0 0 7.1 7.1 5 17.2 12 7.1
Fungia_fungites 0 0.9 0 0 0 0 0 0 0 0
Pavona_varians 3.1 0 3.7 0 5.2 0 0 0 0 0
Galaxea_fascicularis 2.7 0 0 0 0 0 0 0 0 0
Symphyllia_radians 0 0 1.5 0 0 0 0 0 0 0
Lobophyllia_corymbosa 1.5 3 0 0 0 0 0 0 0 0
Lobophyllia_hemprichii 1.5 0 0 0 0 0 0 0 0 0
Porites_cylindrica 12.1 5.1 13.1 6.1 8.7 10 0 6 9.1 0
Porites_lichen 0.9 1.2 3.3 0.6 0 0 0 0 0 0
Porites_lobata 5.5 0 2 0 0 0 0 0 0 0
Porites_lutea 0 0 3 0 0 0 0 0 0 0
Porites_nigrescens 1.3 7.1 7.9 9.8 16.5 1.5 2 6.8 10.7 5.1
Porites_solida 3.5 5.2 0 0.9 0 3.9 0 0 0 0
Porites_stephensoni 0 0 0 0 5.5 0 7.1 3.7 0 5
Goniopora_lobata 3 0 0 0 0 0 0 0 0 0
Favia_pallida 0 0.8 0 0 0 0 0 0 0 0
Favites_abdita 0.9 0 0 0 0 0 0 0 0 0
Favites_chinensis 0.9 0 0 0 0 0 0 0 0 0
Platygyra_daedalea 0 2.5 1.8 5.7 0 5 0 0 0 0
Platygyra_sinensis 0 0 0 3.5 0 0 3.3 0 3.7 0
Cyphastrea_serailia 1.5 0 0 0 0 0 0 0 0 0
